Country;MarketValue
Austria;0.2630066864256076
Belgium;0.6334350444576171
Croatia;0.319372874925904
Czech Republic;0.09981557794902193
Denmark;0.2822564552459988
England;0.9673757913455838
Finland;0.035972661529342025
France;1.0
Germany;0.8550301600474215
Hungary;0.04376604623592176
Italy;0.6476524718435092
Netherlands;0.5207255483106106
North Macedonia;0.054853847065797275
Poland;0.20639241256668642
Portugal;0.7165935506816835
Russia;0.18680936573799645
Scotland;0.21939008891523415
Slovakia;0.120654914048607
Spain;0.8156078956727919
Sweden;0.1711808180201541
Switzerland;0.2519118435091879
Turkey;0.2621869116775341
Ukraine;0.13712704208654417
Wales;0.18486959098992295
